"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Montag 23. April 2018 ","","Assads perfider Trick; Alle Syrer müssen innerhalb eines Monats ihre Wohnung oder ihr Haus registrieren lassen. Flüchtlinge können das allerdings nicht - und stehen bei ihrer Rückkehr mit leeren Händen da","","Die Welt","","",
"","Montag 23. April 2018 ","","Der große Graben; Die Toleranz in der politischen Debatte nimmt ab, die Spaltung innerhalb der Gesellschaft zu. So sehen es viele Europäer - und glauben, fremde Religionen seien die Quelle von Konflikten","","Die Welt","","",
"","22. April 2018 ","","Auf dem Weg in die Sportbars; In der Münchner "NeuLand-Zeitung" schreiben Flüchtlinge über ihren Neustart in Deutschland. Die Auflage steigt - was auch daran liegen könnte, dass man sich bewusst nicht mit Tagespolitik beschäftigt","","Welt am Sonntag","","",
"","22. April 2018 ","","Liebe Leserinnen, liebe Leser,","","Welt am Sonntag","","",
"","22. April 2018 ","","BAMF kündigt zahlreichen Dolmetschern","","Welt am Sonntag","","",
"","22. April 2018 ","","Wer hat die Deutungshoheit?; Über Jahrzehnte lag die Meinungsführerschaft bei Linken und Achtundsechzigern. Heute werden die Debatten von der demokratischen Rechten dominiert, meint Susanne Gaschke","","Welt am Sonntag","","",
"","22. April 2018 ","","Wohnraum - ein knappes und bedrohtes Gut","","Welt am Sonntag","","",
"","22. April 2018 ","","Der Jubel-Dämpfer; Der Tarifabschluss im öffentlichen Dienst wird vielerorts begrüßt. Lüneburgs Oberbürgermeister Ulrich Mädge macht da nicht mit: Denn wie auf viele andere finanzschwache Kommunen kommen auch auf seine Stadt schwierige Zeiten zu","","Welt am Sonntag","","",
"","22. April 2018 ","","Falke und die toten Rosen von Lüneburg","","Welt am Sonntag","","",
"","22. April 2018 ","",""Wir haben zu wenig gestritten"; Bundestagspräsident Wolfgang Schäuble über die Arbeit im vergrößerten Parlament, ein neues Wahlrecht und die Notwendigkeit, ein europäisches Asylrecht und eine Europaarmee zu schaffen","","Welt am Sonntag","","",
"","22. April 2018 ","","Die Geschichte des O.; Alexander Onischenko war einer der engsten Mitarbeiter des ukrainischen Präsidenten Poroschenko, bis er in Ungnade fiel. Seine Aufgabe: Bestechung. Im Interview berichtet er über Korruption, Gier und Macht in seinem Land Von Stefan Aust und Helmar Büchel","","Welt am Sonntag","","",
"","Samstag 21. April 2018 ","","BAMF-Skandal in Bremen; Asyl in 2000 Fällen offenbar ohne Grundlage gewährt. Verdacht der Bestechung","","Die Welt","","",
"","Samstag 21. April 2018 ","","Die SPD muss endlich aufwachen","","Die Welt","","",
"","Samstag 21. April 2018 ","","Elite ohne Land; Drei Jahre studierten rund 220 junge Syrer in Deutschland. Sie wurden ausgebildet, um ihre Heimat wieder aufzubauen. Weil der Krieg dort aber weiter tobt, ist diese Perspektive in weite Ferne gerückt. Wie könnte ihre Zukunft nun aussehen?","","Die Welt","","",
"","Samstag 21. April 2018 ","","Schwedens Sarrazin; Tino Sanandaji spricht Probleme der Migration offen an. Der Wohlfahrtsstaat sei nur durch eine strikte Einwanderungspolitik zu halten, sagt der Ökonom, der einst selbst als Flüchtling in das Land kam","","Die Welt","","",
"","Freitag 20. April 2018 ","","Antisemitischer Angreifer stellt sich; Er hatte in Berlin mit dem Gürtel auf einen Israeli eingeschlagen. Haftbefehl erlassen","","Die Welt","","",
"","Freitag 20. April 2018 ","","Legale Flüchtlinge","","Die Welt","","",
"","Freitag 20. April 2018 ","","Tschechien ist besonders strikt; Die Anerkennungsquoten bei Migranten sind EU-weit sehr unterschiedlich","","Die Welt","","",
"","Freitag 20. April 2018 ","","Im Darkroom der Gefühle; Sind unsere Medien auf Antisemitismus von Muslimen fixiert? Bericht von einer anonymen Diskussion","","Die Welt","","",
"","Freitag 20. April 2018 ","","Politik Kompakt; Bischofsstreit: Papst schlägt Gespräch in Rom vor ++ PKW-Maut: Deutschland soll sich an EU-Modell beteiligen ++ Umsiedlung: 10.000 Flüchtlinge nach Deutschland ++ Irak: Luftangriffe auf IS-Stellungen in Syrien ++ In eigener Sache: Rosenfeld und Lindner getrennt","","Die Welt","","",
"","Donnerstag 19. April 2018 ","","Herzls Traum; 1948 verliest David Ben-Gurion die Unabhängigkeitserklärung Israels und macht die Idee zionistischer Vordenker zur Wirklichkeit. Doch schon in der ersten Nacht des neuen Staates greift Ägypten an","","Die Welt","","",
"","Donnerstag 19. April 2018 ","",""Jude oder Nicht-Jude - damit musst du klarkommen!"; Ein Israeli wird in Berlin von einem mutmaßlichen Araber attackiert. Der antisemitische Angriff ist kein Einzelfall. Viele Juden zweifeln, ob es für sie hierzulande eine Zukunft gibt","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Das Leben hinter den Zahlen; Mit Statistiken allein lassen sich die Probleme armer Kinder in Deutschland nicht erklären. Wer wirklich etwas ändern will, muss Familien finanziell entlasten - und zugleich jene Eltern aktivieren, die ihren Nachwuchs vernachlässigen","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Flüchtlingspässe aus Deutschland werden verkauft; Syrer geben Papiere an Landsleute weiter","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Ein Europa, das schützt; Bei seiner Rede im EU-Parlament in Straßburg warnt Frankreichs Präsident Macron vor Gefahren für das europäische Modell","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Immer noch unbesiegbar; Heute vor 80 Jahren wurde der erste Superman-Comic ausgeliefert. Unseren Autor hat der Held seit dem Kinderzimmer begleitet. Inzwischen langweilt ihn allerdings dessen absolute Keimfreiheit","","Die Welt","","",
"","Mittwoch 18. April 2018 ","",""Die Sonnenallee gehört unter deutsche Kontrolle"; In der Islam-Debatte kommen Muslime kaum zu Wort. Besuch bei einer syrischen Flüchtlingsfamilie in Berlin, die sich über so manches wundert","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Politik Kompakt; Europa: Gedenken an ermordete Journalisten ++ Stuttgart: Anklage gegen Auschwitz-Wachmann ++ Italien: Seenotretter-Schiff wieder freigegeben","","Die Welt","","",
"","Dienstag 17. April 2018 ","",""Wir stellen uns Rechts in den Weg, mit allen Konsequenzen"; Der Mecklenburger Schauspieler Charly Hübner feiert in seinem Film "Wildes Herz" Sänger Monchi und dessen Punkband Feine Sahne Fischfilet aus Vorpommern. Ein Doppelgespräch über Heimat","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Die neuen Kriege; Syrien ist ein Laboratorium für die Kämpfe des 21. Jahrhunderts - genauso wie es der spanische Bürgerkrieg für den Zweiten Weltkrieg war und der Koreakrieg für den Kalten Krieg","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Maximale Abschieberhetorik - minimale Erfolgsquote; Nach den Silvesterübergriffen in Köln vor gut zwei Jahren wollte die Bundesregierungkriminelle und gefährliche Ausländer ausweisen. Es blieb allerdings bei der Ankündigung","","Die Welt","","",
"","Montag 16. April 2018 ","","Die Sache mit der Diversität","","Die Welt","","",
"","Montag 16. April 2018 ","","Deutschlands neue Armut; Über Jahrzehnte glaubte die große Mehrheit der Deutschen fest an die Stärke des hiesigen Sozialstaats. Doch nicht nur die plötzlich entbrannte Hartz-IV-Debatte zeigt, wie das Vertrauen erodiert","","Die Welt","","",
"","Montag 16. April 2018 ","","Kürzungen für abgelehnte Asylbewerber?; Vorstoß von CDU und CSU, Kritik aus der Opposition","","Die Welt","","",
"","Montag 16. April 2018 ","","Tag 33","","Die Welt","","",
"","15. April 2018 ","","Alexander Dobrindt; Weniger Hartz IV für Asylbewerber","","Welt am Sonntag","","",
"","15. April 2018 ","","Andrea Horitzky macht Kasse","","Welt am Sonntag","","",
